Country Name,Country Code_x,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Region,Income Group
Australia,AUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,8527.228085,8522.159222,8550.328665,8701.760344,8812.489499,8994.35591,9108.29556,9291.083869,9783.442895,10036.45778,10193.91218,10636.37769,10813.12273,10434.87439,10554.81582,10458.45019,10490.48454,10972.89174,10749.11055,10791.5931,10726.92818,10627.29387,10403.61702,10213.03945,10059.20745,East Asia & Pacific,High income
Austria,AUT,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,6111.47652,6347.220096,6227.498049,6137.269463,6205.804904,6344.393087,6607.222977,6620.447862,6706.708677,6972.189816,7076.269483,7333.231953,7427.656445,7695.080037,7808.157792,7977.681597,8244.401952,8207.474739,8233.014833,7944.796096,8382.711154,8425.167753,8548.882199,8509.61158,8355.841952,Europe & Central Asia,High income
Azerbaijan,AZE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2575.639056,2631.137395,2276.076944,2119.679787,1961.827037,1951.984385,1852.891923,1813.670143,1936.939214,2022.485985,2040.47909,2106.470066,1996.708252,2235.459856,2281.947872,2388.388734,2552.286214,2118.210528,2040.760435,1620.38742,1603.431374,1705.424633,2052.650965,2092.536521,2202.393918,Europe & Central Asia,Upper middle income
Burundi,BDI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income
Belgium,BEL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,6380.31322,6655.414381,6850.663773,6881.072143,7176.240507,7379.737079,7527.688545,7701.612131,7913.05858,7944.129807,8247.677113,8267.187216,8311.892679,8411.900657,8576.223497,8509.997073,8683.671285,8614.679503,8521.49674,7903.955479,8393.949623,8021.909269,7973.224172,7972.946352,7709.123078,Europe & Central Asia,High income
Benin,BEN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,34.95031431,36.70259961,38.82363996,39.11794114,39.37545282,41.82500621,44.46808053,47.91743047,44.8204208,51.92000478,58.11285283,61.46904228,68.26224876,64.6228902,70.32254435,73.78894982,75.0891821,79.71811485,86.35244953,87.87320679,95.44246988,91.53558018,93.12211948,96.75693349,100.2263892,Sub-Saharan Africa,Low income
Burkina Faso,BFA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income
Bangladesh,BGD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,48.3667547,48.96648345,58.64850152,65.20947215,68.96921714,75.90125091,79.49227525,81.24846998,86.16983278,94.27287554,101.4886293,111.69426,119.2746738,125.4576704,160.2533607,170.6812527,190.9154645,199.8311925,201.2488571,219.2420592,239.8305315,257.6343732,274.8719582,292.7500271,310.3912261,South Asia,Lower middle income
Bulgaria,BGR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,4758.731903,4361.144516,3735.525454,3807.696906,3825.386616,4211.125131,4350.443259,3970.131139,3932.401784,3613.367267,3673.606871,3859.090025,3853.819004,3997.902596,3971.822736,4165.180392,4366.912765,4523.322878,4674.503151,4483.747139,4560.414917,4863.691441,4761.912583,4639.706323,4708.927458,Europe & Central Asia,Upper middle income
Bahrain,BHR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,15621.12471,14214.39291,18497.87894,21644.38385,20477.15743,20553.52236,20597.30277,21105.00395,21251.35652,20637.97532,20014.62503,20130.48546,20016.37765,19774.98713,18982.99448,21325.55378,21508.45042,20592.90022,18492.00154,17460.33219,18038.26695,17910.9405,17845.48272,18687.69533,19592.23195,Middle East & North Africa,High income
"Bahamas, The",BHS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income
Bosnia and Herzegovina,BIH,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2937.656354,2104.948688,1109.891266,706.21348,891.1531963,955.5866829,1121.580964,1378.572984,1766.971472,1826.758298,2021.925789,2059.775928,2082.998416,2223.4588,2311.382342,2379.460166,2375.731188,2375.463699,2979.063391,2883.444311,3141.519643,3318.635949,3437.859766,3414.147965,3365.67394,Europe & Central Asia,Upper middle income
Belarus,BLR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,4380.900972,4426.034923,3912.881754,3450.239281,3068.348489,2789.974495,2806.496063,2953.049323,3016.287615,3005.364257,2996.309475,3009.402482,3000.745625,3063.056939,3174.053092,3245.372088,3365.981865,3393.908536,3481.743517,3298.703607,3563.637766,3628.45729,3697.397484,3648.32146,3679.97884,Europe & Central Asia,Upper middle income
Belize,BLZ,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income
Bermuda,BMU,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,North America,High income
Bolivia,BOL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,266.4724301,281.3005495,291.2346231,314.2775637,334.9570776,354.1828064,372.791869,391.5711825,408.6588837,421.9872336,419.808737,420.7676803,434.3984898,441.9766595,452.1763062,482.170169,513.0699811,545.3614934,534.4872397,553.657088,604.3409709,637.4063673,663.3457707,705.4628613,752.6870217,Latin America & Caribbean,Lower middle income
Brazil,BRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1457.347666,1483.011425,1491.114266,1534.817563,1564.088836,1631.611386,1684.030275,1758.874998,1804.247783,1827.705392,1891.970822,1742.485696,1800.517134,1875.323158,1948.408598,2007.27743,2063.097317,2157.437342,2218.883587,2185.745263,2361.055941,2416.462848,2485.588137,2551.407985,2601.365506,Latin America & Caribbean,Upper middle income
Barbados,BRB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income
Brunei Darussalam,BRN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,4324.052785,4472.836251,4818.168877,5267.062051,5578.102064,6383.078952,6826.409013,7620.866689,7753.225028,7373.831174,7544.089713,7179.882217,7371.701546,8548.653184,8594.721339,8462.090383,8432.140446,8616.458236,8593.230886,8843.792669,8809.711266,8776.360171,9223.310686,9841.859823,10242.7958,East Asia & Pacific,High income
Bhutan,BTN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,South Asia,Lower middle income
Botswana,BWA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,718.4783934,798.3166882,866.8576684,863.0534832,901.0701921,876.3018659,902.709375,967.8591383,1034.962941,1017.141391,1098.742146,1169.274076,1220.818752,1309.620864,1428.391816,1419.833047,1455.760896,1503.854443,1518.225644,1716.768979,1539.556477,1477.083992,1714.437507,2060.599284,1748.615334,Sub-Saharan Africa,Upper middle income
Central African Republic,CAF,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income
Canada,CAN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,16109.27998,16104.46973,16080.34644,16235.99151,16325.65728,16503.27042,16572.68325,16608.55298,16385.40196,16625.3869,16990.57839,16807.14499,16959.60079,17191.15419,17235.41178,16912.47834,16508.67863,16683.69014,16378.14227,15450.87955,15269.5726,15642.96775,15320.59425,15719.70823,15545.53511,North America,High income
Switzerland,CHE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,7445.292017,7538.406742,7430.297509,7235.094076,7155.485684,7283.380159,7393.539173,7341.612373,7481.433547,7646.706162,7845.634548,7992.277576,8031.432226,8195.120835,8205.829119,8305.371102,8360.576135,8163.295576,8305.923042,8021.223604,8174.408162,7928.19067,7886.094306,7807.058815,7520.166025,Europe & Central Asia,High income
Channel Islands,CHI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income
Chile,CHL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1240.661247,1317.65464,1462.288914,1521.537503,1597.145604,1755.660589,1938.428562,2082.228211,2190.121869,2406.58722,2512.325102,2640.7952,2738.479234,2906.983,3072.347694,3102.483523,3229.269099,3347.262169,3347.568969,3307.655714,3320.415734,3600.344819,3827.439178,3903.972414,3911.649265,Latin America & Caribbean,High income
China,CHN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,510.6198549,548.9537531,604.6936831,662.6370456,727.1073597,770.2802412,821.0808591,852.7406865,870.6172223,913.963448,992.9433847,1076.549121,1194.856295,1379.484632,1585.838782,1782.312153,2039.01466,2325.926769,2446.369055,2612.45662,2943.589954,3298.003913,3474.988062,3773.405384,3927.0445,East Asia & Pacific,Upper middle income
Cameroon,CMR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,200.1669965,193.5206404,190.185601,192.5717467,168.8068188,161.7265411,167.5297514,177.6155926,174.8192765,180.0308638,178.0122002,167.8798019,157.6635358,170.0393767,195.7653248,189.7731992,250.117852,258.3799668,272.0155405,269.8051686,266.3429224,261.1541552,252.1536583,257.1145769,280.6666791,Sub-Saharan Africa,Lower middle income
"Congo, Dem. Rep.",COD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,130.8697049,125.4635098,115.1926061,102.5400816,101.2571455,108.8332499,104.815127,95.39096676,93.41995051,95.2097367,96.63018532,95.61035839,89.79496569,90.27042267,88.24491554,89.51356855,101.8339826,105.3107968,101.2694156,106.8588427,104.7219202,108.0889103,112.2520723,117.0984931,108.5823312,Sub-Saharan Africa,Low income
"Congo, Rep.",COG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,168.0013211,178.6446296,171.5149387,155.1817684,139.5777479,146.4675423,149.3458997,124.8957795,107.2675222,66.95694095,92.69228301,101.6344141,112.1161782,111.6339412,102.6227319,114.3012977,122.5807543,122.2258381,131.9423099,141.053273,136.5493323,143.8153845,208.9195256,207.3076254,197.2859935,Sub-Saharan Africa,Lower middle income
Colombia,COL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,841.8640935,842.2887733,753.8243403,846.1902981,883.9726613,895.3854119,887.8016837,895.8631595,874.444252,810.6877073,829.3989416,850.4251723,858.6206682,862.5182615,898.3441057,895.8168431,947.1270942,974.3868628,974.2203965,1049.978201,1077.984569,1121.391104,1149.963818,1287.202426,1289.569693,Latin America & Caribbean,Upper middle income
Comoros,COM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income
Cabo Verde,CPV,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Lower middle income
Costa Rica,CRI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1080.105104,1131.107374,1417.973357,1345.403956,1279.742183,1293.960625,1262.25696,1373.167967,1326.123004,1449.052062,1521.102204,1499.70051,1572.89666,1658.761053,1694.754144,1736.411509,1838.333418,1900.688619,1903.371661,1858.402683,1901.31301,1898.717393,1956.974914,1954.572082,1957.930248,Latin America & Caribbean,Upper middle income
Cuba,CUB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1214.033421,1049.834554,904.7490521,839.8079142,897.4631322,917.8397701,972.5379372,1037.9533,1043.013271,1078.037416,1135.440746,1155.584988,1183.187945,1191.741845,1173.610477,1152.756855,1223.416691,1296.391169,1314.882711,1323.926753,1290.826274,1318.666686,1364.066144,1419.274709,1434.032704,Latin America & Caribbean,Upper middle income
Cayman Islands,CYM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,High income
Cyprus,CYP,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2430.166942,2481.072722,2837.839695,3004.576483,3058.140507,2784.714234,2816.504718,2866.946741,3097.818432,3178.014146,3373.314138,3455.235025,3703.301855,3918.221592,3946.912639,4099.612906,4238.127075,4377.124635,4554.519709,4577.096667,4585.626371,4239.732939,4035.021875,3587.738745,3624.895753,Europe & Central Asia,High income
Czech Republic,CZE,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5600.407612,5256.302082,5077.660185,5032.403649,5186.969442,5470.670661,5729.386255,5660.060028,5604.80954,5493.85153,5703.816739,5892.172595,5894.233119,6074.849142,6230.398228,6357.421095,6528.53015,6518.217413,6489.126257,6139.35206,6348.424398,6298.727678,6304.571923,6284.790806,6258.891037,Europe & Central Asia,High income
Germany,DEU,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,6639.731691,6564.797195,6445.874,6288.41635,6244.957228,6327.709754,6403.333726,6427.798768,6479.490249,6505.132999,6635.421406,6762.653396,6900.780527,7009.726492,7108.962524,7138.221485,7212.437448,7229.089913,7187.764009,6817.158398,7264.322591,7281.272174,7270.152523,7217.529089,7035.482975,Europe & Central Asia,High income
Djibouti,DJI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,Lower middle income
Dominica,DMA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income
Denmark,DNK,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5944.828367,6217.335513,6236.258477,6306.869562,6539.535706,6424.537292,6646.685948,6607.201412,6504.256329,6508.513381,6482.488628,6490.092993,6533.752014,6602.63638,6615.569959,6659.000427,6824.745939,6668.390266,6534.12385,6219.701092,6327.506456,6165.97362,6038.552307,6039.432,5858.801536,Europe & Central Asia,High income
Dominican Republic,DOM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,388.5213179,398.3279509,540.265441,508.4435125,526.3733559,497.0590147,633.4448151,636.9838716,1090.355728,1267.749201,1313.61632,1273.639131,1373.483759,1347.382178,1112.600486,1215.904709,1308.564476,1335.388111,1352.355415,1299.786502,1366.237674,1397.613167,1466.279992,1516.540327,1578.151662,Latin America & Caribbean,Upper middle income
Algeria,DZA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,528.4349361,529.4052055,556.6369036,545.017593,548.087629,557.079781,567.70475,572.9277693,615.5776956,649.7839,680.1959744,705.9347934,727.6126435,783.0323588,800.7043079,886.9145764,858.9340106,890.8143527,943.7557434,863.0859736,1012.690836,1118.50881,1231.970092,1272.296024,1356.264554,Middle East & North Africa,Upper middle income
Ecuador,ECU,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,481.3032102,509.512006,522.9940367,517.8426989,550.440902,552.856441,613.1735248,656.1848716,688.5135793,637.0027288,637.521384,649.9773784,692.2397847,720.1119131,829.111227,799.7680127,868.1594676,958.927533,1083.989119,1111.203759,1143.780018,1217.339912,1281.545268,1333.265481,1380.610286,Latin America & Caribbean,Upper middle income
"Egypt, Arab Rep.",EGY,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,662.7335315,678.627712,682.3458693,698.1408473,710.6563815,729.1916774,786.959499,826.1236163,869.8380968,926.6077687,961.9490679,1013.254255,1062.527547,1128.721384,1171.169753,1241.342768,1311.364488,1401.19247,1446.626135,1512.459428,1550.810993,1658.96445,1658.770042,1658.593226,1657.76872,Middle East & North Africa,Lower middle income
Eritrea,ERI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,39.44100235,41.30301993,45.6984621,47.89397568,54.22960429,58.51930346,50.55481584,53.29678466,50.69557572,55.47415533,59.75700478,62.32837961,60.90255513,60.97242963,57.04944219,58.98878298,57.17477241,60.32015152,61.94714451,64.13852133,,,,Sub-Saharan Africa,Low income
Spain,ESP,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,3536.749972,3607.700136,3690.591004,3638.526631,3756.039201,3917.324643,4008.939416,4324.420646,4479.047315,4820.675034,5167.809673,5422.51569,5576.546265,5676.140491,5892.307411,6111.219223,6105.075849,6054.374438,6025.772757,5652.595933,5706.563063,5599.377374,5573.401182,5409.411338,5355.987006,Europe & Central Asia,High income
Estonia,EST,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5755.894502,5617.063576,4933.823237,4049.853828,4354.830108,4244.644078,4556.391169,4811.598138,4733.954908,4460.368108,4540.492561,4680.447946,4767.462935,5158.602778,5429.525522,5531.545829,5869.424789,6277.411463,6364.56783,5975.953811,6506.318181,6314.414448,6689.367776,6664.658569,6732.367473,Europe & Central Asia,High income
Ethiopia,ETH,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,22.50111029,21.83814431,21.62726567,23.25670191,23.56077109,23.9749237,24.39348136,23.82887164,23.69647453,22.89602048,22.64893974,26.440945,26.10033035,28.47881865,30.62000963,33.36501141,37.31102464,39.40720843,40.86078515,42.06459396,48.26534928,52.60600393,57.3859796,64.3918912,69.71577388,Sub-Saharan Africa,Low income
Finland,FIN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,12485.68365,12470.73043,12514.10157,13012.66943,13603.27636,13591.39667,13721.92376,14454.93873,14846.42082,15075.86719,15305.40981,15709.88325,16140.06697,16445.57256,16777.56585,16117.89033,17215.03729,17160.86312,16349.23333,15243.11039,16484.09428,15710.97376,15689.22331,15510.8355,15249.98938,Europe & Central Asia,High income
Fiji,FJI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Upper middle income
France,FRA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5940.750613,6359.774281,6475.787918,6453.000442,6530.411889,6621.941971,6905.164753,6833.136298,7015.501604,7149.296925,7224.526985,7342.256675,7299.24846,7529.550299,7661.49118,7652.864304,7540.295298,7513.57933,7643.44985,7338.041898,7734.726783,7232.980234,7363.426038,7367.846559,6939.522311,Europe & Central Asia,High income
Faroe Islands,FRO,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income
"Micronesia, Fed. Sts.",FSM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,Lower middle income
Gabon,GAB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,916.8126426,904.7016887,883.8670377,865.726163,765.1160001,770.6210174,848.2990034,856.1493937,917.8432136,901.9190138,878.0608258,896.8048554,921.6561381,930.6205794,908.9542994,907.9726268,935.7411596,958.9086169,970.4434556,932.0915529,948.0493351,959.8721585,984.7354619,1079.640846,1172.887323,Sub-Saharan Africa,Upper middle income
United Kingdom,GBR,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5356.57521,5451.677171,5452.393333,5491.989118,5380.264265,5575.808489,5815.828404,5831.957547,5908.87149,6007.484416,6114.529259,6141.982551,6142.749834,6174.550896,6138.754137,6270.984059,6200.554113,6102.396768,6015.726861,5643.128595,5700.855864,5471.924132,5449.252201,5409.630386,5129.527793,Europe & Central Asia,High income
Georgia,GEO,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,3039.150354,2696.705887,2125.166718,1936.836961,1978.15534,1468.314322,1119.776435,1278.135758,1435.384307,1460.078608,1452.821221,1449.252234,1509.754418,1607.765636,1678.680801,1784.9642,1659.816248,1730.524253,1796.774194,1757.667169,1976.821192,2219.096774,2271.372549,2459.745763,2688.489402,Europe & Central Asia,Lower middle income
Ghana,GHA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,326.764769,339.7716176,355.2154592,340.5166644,340.902675,354.8230488,367.6331963,393.3825859,275.1643418,361.0315013,332.0174782,337.7681711,310.9233938,221.1594959,219.8552443,245.8452227,296.7428157,244.0946366,264.2643519,263.0122343,280.5144756,318.4883756,345.7033016,379.6745123,354.714053,Sub-Saharan Africa,Lower middle income
Gibraltar,GIB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2537.374846,2978.228125,3267.640151,3375.755325,3445.392206,3482.933625,3521.822132,3530.103942,3636.245576,3743.022168,3880.692752,3888.570154,3962.718742,4098.360656,4138.449962,4394.576905,4520.683676,4613.964934,4918.733961,5128.049521,5182.439965,4969.315971,5085.80436,5409.240046,5640.754451,Europe & Central Asia,High income
Guinea,GIN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income
"Gambia, The",GMB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income
Guinea-Bissau,GNB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Low income
Equatorial Guinea,GNQ,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Sub-Saharan Africa,Upper middle income
Greece,GRC,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,3221.40532,3253.220687,3398.383758,3459.422977,3598.523798,3708.997588,3832.66722,3989.116107,4175.734566,4316.32629,4586.32987,4719.147217,4909.639698,5091.292424,5200.024354,5297.200025,5434.576469,5701.330854,5805.192546,5627.883706,5333.439556,5389.333122,5534.897159,5028.995794,5062.606422,Europe & Central Asia,High income
Grenada,GRD,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income
Greenland,GRL,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,High income
Guatemala,GTM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,200.4574142,206.4688657,256.4751213,243.0903382,266.4098384,295.6240815,259.2358891,240.5481301,314.6359802,363.1269241,330.4510279,357.9890425,363.0154131,450.7827621,482.5377972,480.6800963,533.0294645,543.4923037,530.5444681,537.7820719,541.9531104,534.5537025,532.6416195,558.4047513,577.8858859,Latin America & Caribbean,Upper middle income
Guam,GUM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,East Asia & Pacific,High income
Guyana,GUY,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,Latin America & Caribbean,Upper middle income
"Hong Kong SAR, China",HKG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,4177.929705,4401.251739,4507.887251,4698.695136,4835.470723,4849.823752,4915.701966,4968.486586,5325.733148,5268.145009,5446.661665,5549.945638,5647.899646,5713.882451,5782.560625,5878.441848,5882.807601,5907.349305,5883.037742,5950.83754,5973.349278,5959.895922,6031.244318,5941.160902,6083.269936,East Asia & Pacific,High income
Honduras,HND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,367.8868483,351.5720053,328.325809,341.5570668,304.3605502,353.8241294,401.8508315,415.1681854,445.2500684,447.5225889,492.1613609,499.7713303,521.6258349,545.7915406,544.824631,580.0556864,591.1364539,643.2301518,665.0866836,633.3524206,627.106677,674.2420614,646.7468785,653.6313849,630.1355308,Latin America & Caribbean,Lower middle income
Croatia,HRV,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2964.644351,2712.416851,2280.536913,2199.353448,2204.086022,2290.426215,2438.807299,2588.8014,2649.633415,2753.623188,2855.851785,2898.648649,3092.342342,3157.657658,3325.523767,3475.911751,3635.810811,3737.601443,3877.995033,3711.607698,3813.679311,3900.601361,3819.280253,3754.268698,3714.382988,Europe & Central Asia,High income
Haiti,HTI,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,58.31206023,44.59237393,39.93515614,28.28420447,18.50184321,29.92401602,33.51933005,41.66691835,36.56845936,38.78921488,35.44191269,34.85736722,30.334816,28.51874528,28.07270568,37.02742534,37.4091725,25.32204779,23.59601398,35.72563121,24.40093456,31.14818314,45.97048753,43.71259506,38.96914873,Latin America & Caribbean,Low income
