WELL_ID	WELL_TYPE	WELL_DEPTH_FT	APPROXIMATE_LATITUDE	APPROXIMATE_LONGITUDE	TOP_OF_SCREEN_FT	SCREEN_LENGTH_FT	SOURCE	SOURCE_NAME	OTHER_NAMES
COA-12	MUNICIPAL	525	33.55091667	-116.04075	445	80	USGS	COA-12	COA-12
COA-11	MUNICIPAL	0	33.51763889	-116.1316389	0	0	USGS	COA-11	COA-11
COAU-02	MUNICIPAL	600	33.84716667	-116.4536389	288	312	USGS	COAU-02	COAU-02
COA-18	MUNICIPAL	790	33.63952778	-116.0865	280	510	USGS	COA-18	COA-18
COAU-01	MUNICIPAL	96	33.98947222	-116.6579722	12	31	USGS	COAU-01	COAU-01
COA-08	MUNICIPAL	342	33.73197222	-116.1983333	258	84	USGS	COA-08	COA-08
COAU-11	MUNICIPAL	400	33.88377778	-116.5013056	220	180	USGS	COAU-11	COAU-11
COAU-04	MUNICIPAL	400	33.7455	-116.2119167	280	120	USGS	COAU-04	COAU-04
COAU-08	MUNICIPAL	730	33.78591667	-116.5361944	476	250	USGS	COAU-08	COAU-08
COA-01	MUNICIPAL	1200	33.92569444	-116.78875	900	300	USGS	COA-01	COA-01
COA-13	MUNICIPAL	890	33.92311111	-116.8135	510	360	USGS	COA-13	COA-13
COAU-12	MUNICIPAL	160	34.02400278	-116.8901306	55	100	USGS	COAU-12	COAU-12
COAU-15	MUNICIPAL	700	33.70730556	-116.3776667	400	300	USGS	COAU-15	COAU-15
COA-10	MUNICIPAL	0	33.573	-116.1851944	0	0	USGS	COA-10	COA-10
COA-16	MUNICIPAL	650	33.78638889	-116.1794722	300	350	USGS	COA-16	COA-16
OIW-10	MUNICIPAL	260	35.69313889	-117.8192222	200	60	USGS	OIW-10	OIW-10
COA-15	MUNICIPAL	400	33.92452778	-116.5406389	180	200	USGS	COA-15	COA-15
COA-17	MUNICIPAL	0	34.01730556	-116.6281944	0	0	USGS	COA-17	COA-17
CLABWB-04	MUNICIPAL	620	33.98202778	-118.3868611	200	400	USGS	CLABWB-04	CLABWB-04
CLABDA-02	MUNICIPAL	550	34.03127778	-118.4596667	210	320	USGS	CLABDA-02	CLABDA-02
CLABDA-06	MUNICIPAL	440	33.99388889	-118.37925	260	170	USGS	CLABDA-06	CLABDA-06
CLABWB-10	MUNICIPAL	600	33.78572222	-118.3247778	300	300	USGS	CLABWB-10	CLABWB-10
CLABWB-07	MUNICIPAL	822	33.77680556	-118.2899722	630	170	USGS	CLABWB-07	CLABWB-07
CLABWB-01	MUNICIPAL	445	33.84508333	-118.3441111	310	115	USGS	CLABWB-01	CLABWB-01
CLABOC-20	MUNICIPAL	98	33.86947222	-117.7078333	60	24	USGS	CLABOC-20	CLABOC-20
CLABOC-13	MUNICIPAL	420	33.86238889	-117.8281667	90	316	USGS	CLABOC-13	CLABOC-13
CLABOC-17	MUNICIPAL	1230	33.86320278	-117.8501694	530	680	USGS	CLABOC-17	CLABOC-17
CLABOC-24	MUNICIPAL	604	33.80927778	-117.8175833	256	328	USGS	CLABOC-24	CLABOC-24
CLABOC-23	MUNICIPAL	970	33.92386111	-117.9588889	460	490	USGS	CLABOC-23	CLABOC-23
NOCO-IN-25	MUNICIPAL	283	38.76258333	-122.6074722	56	161	USGS	NOCO-IN-25	NOCO-IN-25
NOCO-CO-18	MUNICIPAL	65	40.60411111	-124.1785	55	5	USGS	NOCO-CO-18	NOCO-CO-18
SCRV-11	MUNICIPAL	636	34.25344444	-118.8653889	316	320	USGS	SCRV-11	SCRV-11
NOCO-CO-21	MUNICIPAL	168	40.58777778	-124.2519167	146	20	USGS	NOCO-CO-21	NOCO-CO-21
NOCO-CO-17	MUNICIPAL	50	40.54291667	-124.06975	0	0	USGS	NOCO-CO-17	NOCO-CO-17
NOCO-CO-11	MUNICIPAL	115	40.57125	-124.1471111	43	60	USGS	NOCO-CO-11	NOCO-CO-11
NOCO-CO-19	MUNICIPAL	50	40.59575	-124.2210556	0	0	USGS	NOCO-CO-19	NOCO-CO-19
NOCO-CO-20	MUNICIPAL	0	40.57269444	-124.26625	0	0	USGS	NOCO-CO-20	NOCO-CO-20
OIW-12	MUNICIPAL	200	35.78634066	-117.7786794	100	-100	USGS	OIW-12	OIW-12
OIW-01	MUNICIPAL	850	35.64736111	-117.7203889	320	510	USGS	OIW-01	OIW-01
USAWE-03	MUNICIPAL	980	33.67816667	-117.3837778	570	410	USGS	USAWE-03	USAWE-03
USAWE-01	MUNICIPAL	1430	33.63141667	-117.2954167	420	990	USGS	USAWE-01	USAWE-01
OIW-02	MUNICIPAL	480	35.64383333	-117.8172778	310	160	USGS	OIW-02	OIW-02
OIWU-05	MUNICIPAL	765	35.59341667	-117.8306111	0	0	USGS	OIWU-05	OIWU-05
OIW-08	MUNICIPAL	190	35.71613889	-117.8369167	0	0	USGS	OIW-08	OIW-08
OIWU-04	MUNICIPAL	690	35.59366667	-117.8306667	232	458	USGS	OIWU-04	OIWU-04
OIWU-03	MUNICIPAL	920	35.65444444	-117.7952778	600	300	USGS	OIWU-03	OIWU-03
LUB-11	MUNICIPAL	600	35.39718359	-117.7553411	452	138	USGS	LUB-11	LUB-11
LUB-03	MUNICIPAL	456	35.28301727	-117.989515	0	0	USGS	LUB-03	LUB-03
OIWU-02	MUNICIPAL	730	35.64297222	-117.7136944	430	300	USGS	OIWU-02	OIWU-02
OIWU-01	MUNICIPAL	1220	35.65022222	-117.7756944	600	600	USGS	OIWU-01	OIWU-01
OIW-05	MUNICIPAL	1020	35.60023344	-117.8114556	0	0	USGS	OIW-05	OIW-05
OIW-03	MUNICIPAL	0	35.54745571	-117.9292355	0	0	USGS	OIW-03	OIW-03
OIW-09	MUNICIPAL	0	35.66925	-117.8729722	0	0	USGS	OIW-09	OIW-09
OIW-04	MUNICIPAL	400	35.80186111	-117.87175	320	80	USGS	OIW-04	OIW-04
NOCO-CO-12	MUNICIPAL	62	40.73927778	-124.1781667	0	0	USGS	NOCO-CO-12	NOCO-CO-12
NOCO-CO-02	MUNICIPAL	55	38.98113889	-123.7032222	35	20	USGS	NOCO-CO-02	NOCO-CO-02
GIL-03	MUNICIPAL	0	36.87027778	-121.4327222	0	0	USGS	GIL-03	GIL-03
GIL-14	MUNICIPAL	0	36.83422222	-121.4229722	0	0	USGS	GIL-14	GIL-14
GIL-05	MUNICIPAL	0	36.83930556	-121.5269167	0	0	USGS	GIL-05	GIL-05
GIL-15	MUNICIPAL	382	36.92091667	-121.3583056	360	22	USGS	GIL-15	GIL-15
GIL-06	MUNICIPAL	0	36.94836111	-121.4111944	0	0	USGS	GIL-06	GIL-06
GIL-17	MUNICIPAL	450	36.83788889	-121.3913611	314	11	USGS	GIL-17	GIL-17
GIL-04	MUNICIPAL	500	36.86384273	-121.3727116	147	353	USGS	GIL-04	GIL-04
SB-07	MUNICIPAL	427	34.44611111	-119.7556111	215	212	USGS	SB-07	SB-07
NOCO-IN-27	MUNICIPAL	155	39.0525	-122.6944167	40	75	USGS	NOCO-IN-27	NOCO-IN-27
LUB-17	MUNICIPAL	584	32.88288889	-114.8624722	484	100	USGS	LUB-17	LUB-17
LUB-16	MUNICIPAL	105	32.70660748	-115.2181541	0	105	USGS	LUB-16	LUB-16
SCRVU-01	MUNICIPAL	820	34.22452778	-119.1401389	400	420	USGS	SCRVU-01	SCRVU-01
SCRV-20	MUNICIPAL	1440	34.27661111	-118.9990833	800	640	USGS	SCRV-20	SCRV-20
SCRV-24	MUNICIPAL	1041.5	34.269	-119.1073333	641.5	400	USGS	SCRV-24	SCRV-24
NOCO-IN-05	MUNICIPAL	60	39.68822222	-123.4878889	0	0	USGS	NOCO-IN-05	NOCO-IN-05
NOCO-IN-03	MUNICIPAL	58	39.65486111	-123.47775	33	25	USGS	NOCO-IN-03	NOCO-IN-03
NOCO-IN-04	MUNICIPAL	55	39.40341667	-123.3214167	0	0	USGS	NOCO-IN-04	NOCO-IN-04
LIVU-04	MUNICIPAL	420	37.67608333	-121.8279722	200	210	USGS	LIVU-04	LIVU-04
LIV-04	MUNICIPAL	147	37.69816667	-121.7978611	101	45	USGS	LIV-04	LIV-04
LIV-06	MUNICIPAL	0	37.67461111	-121.7348056	0	0	USGS	LIV-06	LIV-06
SCRC-B21	MUNICIPAL	190	34.66311111	-120.537	0	0	USGS	SCRC-B21	SCRC-B21
SCRC-B26	MUNICIPAL	180	34.68158333	-120.5630278	0	0	USGS	SCRC-B26	SCRC-B26
SCRC-U02	MUNICIPAL	174	34.66316667	-120.50175	134	40	USGS	SCRC-U02	SCRC-U02
S8_MOBS_R24	MUNICIPAL	220.5	34.42094444	-116.9991389	200	20	USGS	S8_MOBS_R24	S8_MOBS_R24
S8_MOBS_R35	MUNICIPAL	220.5	34.42477778	-116.9440556	200	20	USGS	S8_MOBS_R35	S8_MOBS_R35
MOJO-47	MUNICIPAL	0	34.43925	-117.0347778	0	0	USGS	MOJO-47	MOJO-47
MOJO-24	MUNICIPAL	300	34.42047222	-116.9530833	120	180	USGS	MOJO-24	MOJO-24
MOJO-22	MUNICIPAL	0	34.38052778	-116.9440278	0	0	USGS	MOJO-22	MOJO-22
MOJO-23	MUNICIPAL	0	34.42344444	-117.0817222	0	0	USGS	MOJO-23	MOJO-23
NOCO-CO-09	MUNICIPAL	397	40.81191667	-124.1108889	356	20	USGS	NOCO-CO-09	NOCO-CO-09
NOCO-CO-27	MUNICIPAL	400	40.68891667	-124.2074167	0	0	USGS	NOCO-CO-27	NOCO-CO-27
NOCO-CO-03	MUNICIPAL	380	40.74333333	-124.1993333	280	90	USGS	NOCO-CO-03	NOCO-CO-03
NOCO-CO-10	MUNICIPAL	225	40.86388889	-123.97425	210	10	USGS	NOCO-CO-10	NOCO-CO-10
NOCO-CO-29	MUNICIPAL	200	40.89794444	-124.1193056	0	0	USGS	NOCO-CO-29	NOCO-CO-29
NOCO-CO-08	MUNICIPAL	215	40.90325	-124.0901389	150	60	USGS	NOCO-CO-08	NOCO-CO-08
NOCO-CO-05	MUNICIPAL	0	39.40525	-123.8047778	10.1	0	USGS	NOCO-CO-05	NOCO-CO-05
NOCO-CO-25	MUNICIPAL	193	40.82846152	-124.0858939	175	18	USGS	NOCO-CO-25	NOCO-CO-25
NOCO-CO-01	MUNICIPAL	18	39.47488829	-123.7969601	16	9	USGS	NOCO-CO-01	NOCO-CO-01
S-NSF-VP25	MUNICIPAL	NA	38.19797283	-122.2755276	NA	NA	USGS	S-NSF-VP25	S-NSF-VP25
S8_MOBS_F01	MUNICIPAL	269	34.34861388	-117.2514323	219	50	USGS	S8_MOBS_F01	S8_MOBS_F01
S8_MOBS_F05	MUNICIPAL	400	34.89811111	-117.1306667	160	240	USGS	S8_MOBS_F05	S8_MOBS_F05
S8_MOBS_F06	MUNICIPAL	195	34.89436111	-117.1146667	80	115	USGS	S8_MOBS_F06	S8_MOBS_F06
S8_MOBSU_U02	MUNICIPAL	99.5	34.86055833	-117.1708583	90	10	USGS	S8_MOBSU_U02	S8_MOBSU_U02
S8_MOBSU_U04	MUNICIPAL	141	34.388225	-117.2374083	120	20	USGS	S8_MOBSU_U04	S8_MOBSU_U04
MOJO-19	MUNICIPAL	420	34.53222222	-117.2741667	160	20	USGS	MOJO-19	MOJO-19
LUB-10	MUNICIPAL	300	34.95081836	-116.5864174	190	110	USGS	LUB-10	LUB-10
MOJO-12	MUNICIPAL	360	34.72705556	-117.3448333	110	250	USGS	MOJO-12	MOJO-12
MOJO-09	MUNICIPAL	425	34.74286111	-117.3346389	150	265	USGS	MOJO-09	MOJO-09
MOJO-18	MUNICIPAL	0	34.44197222	-117.232	0	0	USGS	MOJO-18	MOJO-18
MOJO-34	MUNICIPAL	0	34.33841667	-117.2738056	0	0	USGS	MOJO-34	MOJO-34
MOJOU-03	MUNICIPAL	610	34.88076111	-116.9627056	590	20	USGS	MOJOU-03	MOJOU-03
S8_MOBSU_U01	MUNICIPAL	200.4	34.88076111	-116.9627056	180	20	USGS	S8_MOBSU_U01	S8_MOBSU_U01
MOJO-40	MUNICIPAL	350	34.89208333	-117.1163917	190	160	USGS	MOJO-40	MOJO-40
MOJO-26	MUNICIPAL	390	34.56138889	-117.2944444	180	210	USGS	MOJO-26	MOJO-26
MOJOU-07	MUNICIPAL	150	34.80513889	-117.2545556	90	60	USGS	MOJOU-07	MOJOU-07
NSFVP-26	MUNICIPAL	600	38.65447222	-122.7933056	125	475	USGS	NSFVP-26	NSFVP-26
S-NSF-VP15	MUNICIPAL	NA	38.45061111	-122.7103333	NA	NA	USGS	S-NSF-VP15	S-NSF-VP15
D1-NSF-H30	MUNICIPAL	345	38.40283333	-122.5208889	0	0	USGS	D1-NSF-H30	D1-NSF-H30
S-NSF-VP02	MUNICIPAL	NA	38.33177778	-122.6905278	NA	NA	USGS	S-NSF-VP02	S-NSF-VP02
D1-NSF-VP11	MUNICIPAL	183	38.39372222	-122.7013333	0	20	USGS	D1-NSF-VP11	D1-NSF-VP11
NSFVP-41	MUNICIPAL	235	38.32561111	-122.2906389	60	175	USGS	NSFVP-41	NSFVP-41
NSFHOT-01	MUNICIPAL	200	38.57900833	-122.5765139	0	0	USGS	NSFHOT-01	NSFHOT-01
S-NSF-H35	MUNICIPAL	NA	38.47616667	-122.3893611	NA	NA	USGS	S-NSF-H35	S-NSF-H35
NSFVP-45	MUNICIPAL	0	38.35263889	-122.3363056	0	0	USGS	NSFVP-45	NSFVP-45
S-NSF-VP26	MUNICIPAL	NA	38.32152778	-122.2901389	NA	NA	USGS	S-NSF-VP26	S-NSF-VP26
S-NSF-VP01	MUNICIPAL	NA	38.24341667	-122.6338056	NA	NA	USGS	S-NSF-VP01	S-NSF-VP01
S-NSF-VP27	MUNICIPAL	NA	38.33091667	-122.2985556	NA	NA	USGS	S-NSF-VP27	S-NSF-VP27
NSFVP-32	MUNICIPAL	400	38.43147222	-122.3902778	0	0	USGS	NSFVP-32	NSFVP-32
NSFVP-22	MUNICIPAL	502	38.23947222	-122.5889722	60	442	USGS	NSFVP-22	NSFVP-22
NSFWG-08	MUNICIPAL	600	38.39783333	-122.82725	332	268	USGS	NSFWG-08	NSFWG-08
S-NSF-VP21	MUNICIPAL	NA	38.331	-122.5058889	NA	NA	USGS	S-NSF-VP21	S-NSF-VP21
NSFVP-06	MUNICIPAL	700	38.32613889	-122.6766944	170	510	USGS	NSFVP-06	NSFVP-06
NSFVP-39	MUNICIPAL	460	38.53019444	-122.4915556	56	404	USGS	NSFVP-39	NSFVP-39
No GAMAID?	MUNICIPAL	225	38.38494444	-122.8016111	145	80	USGS	No GAMAID?	No GAMAID?
NSFHOT-05	MUNICIPAL	0	38.59678889	-122.6018556	0	0	USGS	NSFHOT-05	NSFHOT-05
NSFVP-46	MUNICIPAL	180	38.45569444	-122.4160833	40	140	USGS	NSFVP-46	NSFVP-46
S-NSF-VP11	MUNICIPAL	NA	38.39372222	-122.7013333	NA	NA	USGS	S-NSF-VP11	S-NSF-VP11
S-NSF-VP12	MUNICIPAL	NA	38.27605556	-122.6166389	NA	NA	USGS	S-NSF-VP12	S-NSF-VP12
NSFVP-49	MUNICIPAL	220	38.28258333	-122.2814167	140	80	USGS	NSFVP-49	NSFVP-49
S-NSF-VP18	MUNICIPAL	NA	38.80851763	-122.9974998	NA	NA	USGS	S-NSF-VP18	S-NSF-VP18
NSFVP-30	MUNICIPAL	0	38.77452778	-122.9909722	0	0	USGS	NSFVP-30	NSFVP-30
NSFVP-36	MUNICIPAL	306	38.19813889	-122.3158611	145	155	USGS	NSFVP-36	NSFVP-36
S-NSF-VP10	MUNICIPAL	NA	38.41183333	-122.7227222	NA	NA	USGS	S-NSF-VP10	S-NSF-VP10
NSFVOL-18	MUNICIPAL	670	38.51069444	-122.4537222	135	525	USGS	NSFVOL-18	NSFVOL-18
NSFVP-33	MUNICIPAL	0	38.39730556	-122.3606111	0	0	USGS	NSFVP-33	NSFVP-33
S-NSF-VP05	MUNICIPAL	NA	38.46486111	-122.8090833	NA	NA	USGS	S-NSF-VP05	S-NSF-VP05
S-NSF-VP09	MUNICIPAL	NA	38.53380556	-122.825	NA	NA	USGS	S-NSF-VP09	S-NSF-VP09
NSFVP-19	MUNICIPAL	100	38.60852778	-122.8573889	20	40	USGS	NSFVP-19	NSFVP-19
S-NSF-H16	MUNICIPAL	NA	38.33952778	-122.8002778	NA	NA	USGS	S-NSF-H16	S-NSF-H16
S-NSF-VP17	MUNICIPAL	NA	38.61863889	-122.7840556	NA	NA	USGS	S-NSF-VP17	S-NSF-VP17
S-NSF-H26	MUNICIPAL	NA	38.24947222	-122.6521944	NA	NA	USGS	S-NSF-H26	S-NSF-H26
D1-NSF-VP12	MUNICIPAL	280	38.27605556	-122.6166389	100	180	USGS	D1-NSF-VP12	D1-NSF-VP12
NSFVP-37	MUNICIPAL	360	38.30237778	-122.4940056	60	290	USGS	NSFVP-37	NSFVP-37
D1-NSF-VP28	MUNICIPAL	255	38.39413889	-122.3501944	77	178	USGS	D1-NSF-VP28	D1-NSF-VP28
NSFHOT-07	MUNICIPAL	1000	38.31361111	-122.4830556	0	0	USGS	NSFHOT-07	NSFHOT-07
S-NSF-H30	MUNICIPAL	NA	38.40283333	-122.5208889	NA	NA	USGS	S-NSF-H30	S-NSF-H30
NSFHOT-06	MUNICIPAL	0	38.32113611	-122.4895556	0	0	USGS	NSFHOT-06	NSFHOT-06
S-NSF-VP03	MUNICIPAL	NA	38.38411111	-122.7650278	NA	NA	USGS	S-NSF-VP03	S-NSF-VP03
S-NSF-VP22	MUNICIPAL	NA	38.27352778	-122.4646389	NA	NA	USGS	S-NSF-VP22	S-NSF-VP22
NSFHOT-04	MUNICIPAL	0	38.58583333	-122.5808333	0	0	USGS	NSFHOT-04	NSFHOT-04
S-NSF-VP30	MUNICIPAL	NA	38.55341667	-122.509	NA	NA	USGS	S-NSF-VP30	S-NSF-VP30
S-NSF-VP29	MUNICIPAL	NA	38.46888889	-122.4055278	NA	NA	USGS	S-NSF-VP29	S-NSF-VP29
NSFVP-50	MUNICIPAL	199	38.50233333	-122.4645278	0	0	USGS	NSFVP-50	NSFVP-50
NSFHOT-03	MUNICIPAL	45	38.57965833	-122.5803806	0	0	USGS	NSFHOT-03	NSFHOT-03
NSFVP-34	MUNICIPAL	258	38.38516667	-122.5203889	41	217	USGS	NSFVP-34	NSFVP-34
NSFVPFP-03	MUNICIPAL	25	38.58802778	-122.603	13	12	USGS	NSFVPFP-03	NSFVPFP-03
NSFWGFP-01	MUNICIPAL	528	38.39997222	-122.821	138	390	USGS	NSFWGFP-01	NSFWGFP-01
S-NSF-VP14	MUNICIPAL	NA	38.43944444	-122.6794444	NA	NA	USGS	S-NSF-VP14	S-NSF-VP14
S-NSF-VP04	MUNICIPAL	NA	38.38491667	-122.8018611	NA	NA	USGS	S-NSF-VP04	S-NSF-VP04
S-NSF-VP08	MUNICIPAL	NA	38.557	-122.8370278	NA	NA	USGS	S-NSF-VP08	S-NSF-VP08
NSFVP-35	MUNICIPAL	300	38.25675	-122.5850556	85	215	USGS	NSFVP-35	NSFVP-35
NSFVP-47	MUNICIPAL	79	38.58530556	-122.5693889	0	0	USGS	NSFVP-47	NSFVP-47
S-NSF-VP06	MUNICIPAL	NA	38.518	-122.8869722	NA	NA	USGS	S-NSF-VP06	S-NSF-VP06
NSFHOT-02	MUNICIPAL	200	38.57969722	-122.5802472	0	0	USGS	NSFHOT-02	NSFHOT-02
S-NSF-VP28	MUNICIPAL	NA	38.39413889	-122.3501944	NA	NA	USGS	S-NSF-VP28	S-NSF-VP28
NSFVPFP-01	MUNICIPAL	1040	38.40825	-122.8015278	410	610	USGS	NSFVPFP-01	NSFVPFP-01
NSFVP-29	MUNICIPAL	120	38.71061111	-122.9034444	62	58	USGS	NSFVP-29	NSFVP-29
NSFWG-04	MUNICIPAL	452	38.36472222	-122.8009167	432	20	USGS	NSFWG-04	NSFWG-04
NSFVPFP-02	MUNICIPAL	231	38.41966667	-122.77425	61	170	USGS	NSFVPFP-02	NSFVPFP-02
NSFVP-40	MUNICIPAL	0	38.25458333	-122.2833889	0	0	USGS	NSFVP-40	NSFVP-40
"NSFHOT-07, SMIW fix"	MUNICIPAL	NA	38.31361111	-122.4830556	NA	NA	USGS	"NSFHOT-07, SMIW fix"	"NSFHOT-07, SMIW fix"
NSFVP-24	MUNICIPAL	85	38.47363889	-122.7281944	65	20	USGS	NSFVP-24	NSFVP-24
NSFVP-11	MUNICIPAL	80	38.50052778	-122.9021389	60	10	USGS	NSFVP-11	NSFVP-11
NSFWG-07	MUNICIPAL	550	38.25030556	-122.6793889	140	400	USGS	NSFWG-07	NSFWG-07
NSFVP-16	MUNICIPAL	206	38.44608333	-122.6698611	50	50	USGS	NSFVP-16	NSFVP-16
NSFVP-04	MUNICIPAL	397	38.30761111	-122.7294444	0	0	USGS	NSFVP-04	NSFVP-04
NSFVP-27	MUNICIPAL	372	38.42008333	-122.5533056	50	322	USGS	NSFVP-27	NSFVP-27
NSFWG-12	MUNICIPAL	261	38.32097222	-122.7577222	100	28	USGS	NSFWG-12	NSFWG-12
NSFVP-20	MUNICIPAL	110	38.49369444	-122.7684444	70	40	USGS	NSFVP-20	NSFVP-20
NSFVOL-12	MUNICIPAL	368	38.31607222	-122.2237556	148	220	USGS	NSFVOL-12	NSFVOL-12
NSFVP-17	MUNICIPAL	0	38.63297222	-122.7886944	0	0	USGS	NSFVP-17	NSFVP-17
NSFVP-05	MUNICIPAL	502	38.36144444	-122.6860556	130	320	USGS	NSFVP-05	NSFVP-05
NSFVP-12	MUNICIPAL	808	38.38636111	-122.7784722	650	150	USGS	NSFVP-12	NSFVP-12
NSFVP-25	MUNICIPAL	265	38.465	-122.6736111	160	105	USGS	NSFVP-25	NSFVP-25
NSFVP-18	MUNICIPAL	63	38.60452778	-122.8815556	48	22	USGS	NSFVP-18	NSFVP-18
NSFVP-21	MUNICIPAL	314	38.25436111	-122.6346111	80	230	USGS	NSFVP-21	NSFVP-21
NSFVP-07	MUNICIPAL	685	38.33938889	-122.7158611	295	375	USGS	NSFVP-07	NSFVP-07
NSFVP-23	MUNICIPAL	530	38.39386111	-122.70825	369	161	USGS	NSFVP-23	NSFVP-23
NSFVP-31	MUNICIPAL	315	38.71916667	-122.8869722	20	295	USGS	NSFVP-31	NSFVP-31
NSFVP-15	MUNICIPAL	60	38.46419444	-122.8071111	40	20	USGS	NSFVP-15	NSFVP-15
NSFVP-08	MUNICIPAL	102	38.55488889	-122.8565	70	18	USGS	NSFVP-08	NSFVP-08
NSFVOL-16	MUNICIPAL	423	38.42688889	-122.3364722	75	344	USGS	NSFVOL-16	NSFVOL-16
NSFWG-02	MUNICIPAL	240	38.2785	-122.7063889	0	0	USGS	NSFWG-02	NSFWG-02
NSFVP-03	MUNICIPAL	120	38.38755556	-122.7418333	55	30	USGS	NSFVP-03	NSFVP-03
NSFVP-01	MUNICIPAL	864	38.33572222	-122.6405	441	421	USGS	NSFVP-01	NSFVP-01
NSFVP-09	MUNICIPAL	400	38.53894444	-122.8015556	260	140	USGS	NSFVP-09	NSFVP-09
NSFWG-11	MUNICIPAL	0	38.26169444	-122.6731944	0	0	USGS	NSFWG-11	NSFWG-11
NSFVP-28	MUNICIPAL	216	38.16666667	-122.4825	116	100	USGS	NSFVP-28	NSFVP-28
NSFVP-02	MUNICIPAL	350	38.46641667	-122.7722222	65	276	USGS	NSFVP-02	NSFVP-02
BV-06	MUNICIPAL	391	33.15594444	-116.1680556	252	33	USGS	BV-06	BV-06
SCRV-42	MUNICIPAL	285	34.40083047	-118.7914823	0	0	USGS	SCRV-42	SCRV-42
NSFVP-14	MUNICIPAL	550	38.43869444	-122.8060833	507	40	USGS	NSFVP-14	NSFVP-14
